@RELATION training

@ATTRIBUTE ram REAL
@ATTRIBUTE cpuutilisation REAL
@ATTRIBUTE hostutilisation REAL
@ATTRIBUTE sla REAL
@ATTRIBUTE migration {0,1}

@DATA
613,0.390009,3,0.001027,1
870,0.917932,43,0,1
870,0.979962,64,0,1
870,0.663049,36,0,1
870,0.394146,25,0,1
613,0.286469,3,0.00917,1
870,0.919306,55,0,1
613,0.788958,13,0,1
613,0.924204,17,0.001111,1
613,0.55618,8,0,1
613,0.095593,1,0.001554,1
870,0.919634,70,0.027134,1
870,0.922428,60,0,1
613,0.303982,5,0,1
613,0.778944,14,0.003726,1
870,0.570086,24,0,1
870,0.918847,50,0.002139,1
1740,0.378794,20,0,1
870,0.853203,47,0.003982,1
613,0.701912,9,0,1
613,0.379232,6,0.001665,1
870,0.934691,74,0.000862,1
613,0.82148,8,0.000555,1
613,0.71137,8,0.001674,1
870,0.694685,42,0,1
870,0.935875,36,0,1
870,0.706308,43,0.003859,1
613,0.625821,7,0.00364,1
870,0.940049,55,0,1
613,0.87812,8,0.003722,1
870,0.585624,30,0,1
613,0.250589,3,0.004634,1
870,0.894027,48,0,1
613,0.744893,7,0.002757,1
870,0.844885,45,0,1
613,0.959167,15,0.000396,1
870,0.319414,28,0.181619,1
613,0.818825,9,0.000254,1
613,0.283353,3,0.003522,1
870,0.897929,56,0,1
870,0.868694,51,0,1
613,0.989898,13,0.000919,1
870,0.240136,13,0.001857,1
1740,0.793677,38,0,1
613,0.404636,3,0.001515,1
613,0.968542,8,0.000368,1
1740,0.867192,30,0,1
1740,0.627881,32,0,1
613,0.411549,4,0.004414,1
613,0.484373,5,0.010512,1
870,0.903036,52,0.00704,1
613,0.431636,5,0.000347,1
613,0.146921,2,0.000519,1
870,0.764759,46,0,1
613,0.787722,8,0.035916,1
870,0.495076,29,0.038906,1
613,0.583342,6,0.003541,1
1740,0.486346,23,0,1
613,0.332253,4,0.000637,1
613,0.083214,1,0.001834,1
613,0.553294,6,0.0005,1
870,0.579073,31,0,1
613,0.516207,9,0.033627,1
870,0.776893,43,0.000953,1
613,0.829964,8,0.079568,1
613,0.75499,8,0.069939,1
613,0.424252,5,0.031312,1
870,0.587052,37,0.028336,1
613,0.497434,4,0.002356,1
613,0.654776,6,0.002446,1
870,0.93756,43,0,1
613,0.741477,9,0.001436,1
613,0.783161,10,0.002238,1
613,0.534767,6,0.001267,1
