workload,experimentName,loadType,vmAllocationPolicy,vmSelectionPolicy,parameter,numberOfHosts,numberOfVms,totalSimulationTime,energy,numberOfMigrations,sla,slaTimePerActiveHost,slaDegradationDueToMigration,slaOverall,slaAverage,numberOfHostShutdowns,meanTimeBeforeHostShutdown,stDevTimeBeforeHostShutdown,meanTimeBeforeVmMigration,stDevTimeBeforeVmMigration,executionTimeVmSelectionMean,executionTimeVmSelectionStDev,executionTimeHostSelectionMean,executionTimeHostSelectionStDev,executionTimeVmReallocationMean,executionTimeVmReallocationStDev,executionTimeTotalMean,executionTimeTotalStDev
1,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,236.33628,19471,5.38E-05,0.067842546,0.00079314,0.008605185,0.104104819,4160,1737.03,2672.16,15.68,7.68,0.11629,0.02482,0.00106,0.00066,0.01505,0.00483,0.1559,0.0257
2,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,238.20404,19769,5.65E-05,0.068799135,0.000820777,0.008932182,0.104299107,4239,1719.65,2644.07,15.74,7.71,0.12036,0.02733,0.00119,0.00071,0.01563,0.00505,0.16159,0.03013
3,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.11738,19306,5.54E-05,0.068655222,0.00080695,0.009659026,0.105837868,4124,1760,2716.78,15.78,7.71,0.14341,0.03933,0.00173,0.00088,0.02255,0.00909,0.20345,0.04727
4,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.39874,19654,5.42E-05,0.06681039,0.000811908,0.008449723,0.105537819,4177,1738.49,2655.97,15.77,7.72,0.12972,0.0278,0.00151,0.00079,0.01961,0.0069,0.18084,0.0317
5,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,236.94913,19701,5.52E-05,0.067653226,0.000815337,0.008777701,0.10419565,4208,1715.44,2621.51,15.76,7.72,0.11779,0.026,0.00107,0.00072,0.01481,0.00434,0.15649,0.02703
6,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.62916,19552,0.000055799,0.069134697,0.000807105,0.009068425,0.104728902,4181,1744.41,2653.59,15.75,7.73,0.11785,0.02558,0.00148,0.00077,0.017,0.00508,0.1639,0.02658
7,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.278,19825,5.73E-05,0.069556253,0.000823477,0.009553846,0.105246103,4252,1714.71,2599.2,15.77,7.71,0.11929,0.0256,0.00139,0.00072,0.01737,0.00564,0.16516,0.02769
8,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.13888,19642,5.53E-05,0.068585279,0.000805863,0.008819059,0.104885145,4199,1735,2663.25,15.65,7.68,0.11872,0.02641,0.00108,0.00074,0.01485,0.00412,0.15821,0.02681
9,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.68707,19549,5.38E-05,0.066579209,0.000808099,0.008720535,0.105201215,4179,1753.84,2694.59,15.74,7.69,0.11933,0.02564,0.00146,0.00073,0.017,0.00498,0.16494,0.02704
10,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.47733,19384,5.48E-05,0.0685497,0.000799262,0.009315191,0.104757558,4141,1753.48,2733.66,15.74,7.71,0.12105,0.02778,0.00158,0.00077,0.01872,0.00544,0.17083,0.02942
11,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.68645,19565,0.000055034,0.06839059,0.000804702,0.008780217,0.105329843,4170,1742.85,2704.64,15.72,7.7,0.11945,0.02554,0.00126,0.00079,0.01586,0.00481,0.16157,0.02653
12,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,236.83119,19543,5.78E-05,0.070724934,0.000817019,0.009970003,0.106766727,4212,1725.97,2678.47,15.83,7.71,0.12122,0.02523,0.00157,0.00076,0.01951,0.00594,0.17237,0.02746
13,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,236.96218,19579,5.52E-05,0.067281139,0.000820857,0.009033407,0.105080693,4194,1736.44,2611.33,15.75,7.69,0.11999,0.02721,0.00153,0.00068,0.01825,0.00616,0.1682,0.03013
14,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.66063,19808,5.79E-05,0.070092317,0.000826176,0.009431112,0.104644854,4215,1743.08,2692.53,15.79,7.73,0.12085,0.02825,0.00124,0.0006,0.01645,0.00465,0.16425,0.02943
15,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.15512,19841,5.50E-05,0.068323488,0.000804948,0.009560945,0.105780147,4214,1730.34,2750.54,15.57,7.64,0.12066,0.02586,0.00146,0.00068,0.01829,0.00544,0.16825,0.02748
16,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,237.31659,19409,0.000054846,0.068158018,0.000804689,0.009398445,0.106138864,4156,1747.37,2738.12,15.77,7.74,0.12143,0.027,0.00155,0.00075,0.01831,0.00539,0.17027,0.02914
17,random_lr_cl_1.7,random,lr,cl,1.7,200,300,86400,236.95176,19748,0.000055871,0.068670102,0.000813615,0.008965415,0.104594652,4191,1741.87,2686.92,15.72,7.7,0.12129,0.0251,0.00142,0.00068,0.01794,0.00558,0.16854,0.02714
