workload,experimentName,loadType,vmAllocationPolicy,vmSelectionPolicy,parameter,numberOfHosts,numberOfVms,totalSimulationTime,energy,numberOfMigrations,sla,slaTimePerActiveHost,slaDegradationDueToMigration,slaOverall,slaAverage,numberOfHostShutdowns,meanTimeBeforeHostShutdown,stDevTimeBeforeHostShutdown,meanTimeBeforeVmMigration,stDevTimeBeforeVmMigration,executionTimeVmSelectionMean,executionTimeVmSelectionStDev,executionTimeHostSelectionMean,executionTimeHostSelectionStDev,executionTimeVmReallocationMean,executionTimeVmReallocationStDev,executionTimeTotalMean,executionTimeTotalStDev
1,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,243.86444,21398,7.59063E-05,0.06560355,0.001157046,0.007206606,0.104396441,4026,1870.45,2592.23,16.13,7.64,0.01324,0.00383,0.00121,0.00064,0.02123,0.00692,0.06875,0.01803
2,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.38292,21468,7.43328E-05,0.064470177,0.00115298,0.007101439,0.103902784,3997,1904.45,2557.4,16.15,7.65,0.01525,0.00433,0.0015,0.0008,0.02651,0.00886,0.08341,0.02047
3,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.61063,21373,0.000074576,0.064680427,0.001152992,0.007275067,0.105145393,4003,1902.46,2646.46,16.04,7.59,0.0182,0.00666,0.00178,0.00101,0.03271,0.01476,0.10316,0.03868
4,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.96547,21575,7.69602E-05,0.065954881,0.001166861,0.007615188,0.104527442,4046,1881.82,2544.18,16.13,7.64,0.01566,0.00445,0.00152,0.00066,0.02521,0.00591,0.08151,0.01283
5,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.92989,21571,7.80836E-05,0.066954594,0.001166217,0.008029141,0.105213221,4002,1900.94,2560.73,16.19,7.68,0.01375,0.00397,0.00136,0.00082,0.02282,0.0075,0.07282,0.01901
6,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.92875,21659,7.86201E-05,0.067467807,0.001165298,0.008006239,0.105486393,4089,1840.19,2552.88,16.06,7.6,0.01431,0.00447,0.00144,0.00074,0.0242,0.00762,0.07748,0.01886
7,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.7441,21402,7.46265E-05,0.06472111,0.001153047,0.007237571,0.104733398,3949,1927.9,2663.38,16.06,7.6,0.01474,0.00397,0.00143,0.00068,0.02355,0.00601,0.07621,0.01352
8,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.48802,21735,0.00007672,0.065928143,0.001163692,0.007678432,0.103858788,4101,1860.43,2573.47,16.04,7.61,0.01349,0.00386,0.00131,0.00071,0.02256,0.00691,0.07163,0.01703
9,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,244.87216,21792,8.10756E-05,0.069310626,0.001169743,0.008789507,0.106141802,4078,1870.98,2547.47,16.1,7.63,0.01407,0.00387,0.00147,0.00072,0.02357,0.00654,0.07599,0.01619
10,random_lr_mmt_1.7,random,lr,mmt,1.7,200,300,86400,245.66956,21660,7.43561E-05,0.064264427,0.001157033,0.007033508,0.103819936,4061,1881.19,2633.43,16.01,7.58,0.01293,0.00403,0.00107,0.00063,0.01999,0.00529,0.06464,0.01164
